Band,Song,Player,Technique,Difficulty,Score
A Call To Sincerity,Lead The Lights,nan,['Distortion Guitar'],Intermediate,3/8
Keith Merrow,Titan,Spår 3,['Distortion Guitar'],Intermediate,3/8
Parkway Drive,Dark Days,nan,"['Overdriven Guitar', 'Solo guitar 2']",Beginner,2/8
Allegiance,Where I Stand,Nick Moore,['Overdriven Guitar'],Intermediate,3/8
Ff,Practice,Micah  Loy,['Distortion Guitar'],Beginner,2/8
Parkway Drive,Old Ghost New Regrets,Jeff,['Distortion Guitar'],Intermediate,5/8
Parkway Drive,Old Ghosts/New Regrets,Jeff,['Distortion Guitar'],Intermediate,5/8
Posthuman Manifesto,Sybreed,nan,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flames,Gnf,Lead,['Distortion Guitar'],Intermediate,3/8
Like Moths To Flames,Your Existence,Lead,['Distortion Guitar'],Intermediate,3/8
In Flames,The Puzzle,nan,"['Distortion Guitar', 'Rythm Guitar 1']",Intermediate,4/8
On The Horns Of A Dilemma,Pieza 1,XKevinX,['Distortion Guitar'],Intermediate,5/8
Insult To Injury,Genesis,Track 3,['Distortion Guitar'],Intermediate,3/8
Insult To Injury,Changes,Track 3,['Distortion Guitar'],Intermediate,3/8
Insult To Injury,Sacrifices,Track 2,['Distortion Guitar'],Intermediate,4/8
Insult To Injury,Expectations,nan,['Overdriven Guitar'],Intermediate,3/8
Lol,Lol,Buckethead,['Overdriven Guitar'],Intermediate,3/8
Issues,King Of Amarillo,nan,"['Distortion Guitar', 'Right Guitar']",Beginner,2/8
Anal Explosion,Pink Ponies,Track 5,['Distortion Guitar'],Advanced,6/8
Bongripper,Satan,nan,"['Distortion Guitar', 'Electric Guitar']",Beginner,2/8
A Call To Sincerity,The Means To An End,Track 2,['Distortion Guitar'],Intermediate,4/8
Like Moths To Flames,The Worst In Me,Track 2,['Distortion Guitar'],Intermediate,3/8
Sybreed,No Wisdom Brings Solace,Thomas Betrisey,['Distortion Guitar'],Beginner,2/8
Sybreed,Electronegative,DROP,['Distortion Guitar'],Intermediate,3/8
Oz,Filmy,Aki,['Distortion Guitar'],Intermediate,3/8
Darkest Hour,Savor The Kill,nan,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,3/8
Above This,Versatile,Spur 1,['Distortion Guitar'],Intermediate,4/8
For The Fallen Dreams,In Sincerity,Track 2,['Distortion Guitar'],Beginner,2/8
Wintersun,Land Of Snow And Sorrow,Jari-clean,['Acoustic Guitar (steel)'],Beginner,1/8
Woe Is Me,A Story To Tell,nan,"['Distortion Guitar', 'Guitar1']",Intermediate,3/8
Scottybonscott,Track02,Track 4,['Distortion Guitar'],Intermediate,3/8
A Day To Remember,Violence [Enough Is Enough],nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
In Flames,Sober And Irrelevant,nan,"['Distortion Guitar', 'Rhythm Guitar I']",Intermediate,4/8
Scottybonscott,Track01,nan,"['Overdriven Guitar', 'Guitar01']",Intermediate,3/8
Scottybonscott,Cover Like A G6,Track 5,['Overdriven Guitar'],Intermediate,3/8
Dead Silence Hides My Cries,My Hard And Long Way Home,nan,['Distortion Guitar 2'],Beginner,2/8
Dead Silence Hides My Cries,Deliverance,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Behigrimaxe,Ttro,Dave,['Distortion Guitar'],Intermediate,4/8
Gazers,Doggoned,Hans,['Distortion Guitar'],Intermediate,3/8
Gazers,Rotten To The Core,Hans,['Distortion Guitar'],Intermediate,3/8
Gazers,The Decline,Arthur,['Distortion Guitar'],Intermediate,3/8
The Plot In You,Digging Your Grave,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Red,Death Of Me,nan,"['Acoustic Guitar (nylon)', 'Guitar 3']",Beginner,2/8
In Flames,Crawl Through Knives,guit solo,['Overdriven Guitar'],Intermediate,3/8
Erra,White Noise,Intro,['Overdriven Guitar'],Beginner,1/8
Misc Unsigned Band,Djent Instrumental,nan,"['Distortion Guitar', 'Guitar II']",Intermediate,4/8
In Flames,Evil In A Closet,nan,['Acoustic Guitar (steel)'],Beginner,2/8
In Flames,Fiend,Spår 3,['Distortion Guitar'],Intermediate,3/8
In Flames,Colony,Björn Gelotte,['Distortion Guitar'],Intermediate,3/8
Dead Silence Hides My Cries,"Rest In Peace, My Friend",Track 7,['Overdriven Guitar'],Intermediate,3/8
The Plot In You,Glad You're Gone,nan,['Overdriven Guitar'],Beginner,1/8
Auras,Sciolist,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
Heart Of A Hero,Untitled,synth,['Overdriven Guitar'],Intermediate,3/8
Erra,Pattern Interrupt,nan,"['Electric Guitar (clean)', 'Clean Rhythm Guitar']",Beginner,2/8
Ronald Mcfondals And The Penetraters,Eon,nan,['Distortion Guitar'],Intermediate,3/8
Ronald Mcfondals And The Penetraters,Bacon Pancakes,nan,['Distortion Guitar'],Intermediate,3/8
Road,Megint Nyár,Ritmusgitár,['Distortion Guitar'],Beginner,2/8
In Flames,I'm The Highway,Lead 2,['Distortion Guitar'],Beginner,2/8
In Flames,Vacuum,Jesper Stromblad,['Distortion Guitar'],Intermediate,3/8
Slipknot,Snuff,James Root,['Distortion Guitar'],Beginner,1/8
Chevelle,Well Enough Alone,Distortion 1,['Distortion Guitar'],Beginner,2/8
Parkway Drive,A Cold Day In Hell,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8
Chevelle,Saferwaters,Pete Clean,['Electric Guitar (clean)'],Beginner,1/8
Parkway Drive,Anasasis Xenophontis,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Chevelle,Antisaint,nan,['Distortion Guitar'],Intermediate,3/8
A Perfect Circle,Judith,B. Howerdel (Rhythm),['Distortion Guitar'],Intermediate,3/8
Linkin Park,Don't Stay,nan,"['Distortion Guitar', 'Brad Delson (Guitar)']",Beginner,1/8
Beautiful Sedativ,A Sharp,nan,['Overdriven Guitar'],Intermediate,3/8
Chevelle,Grab Thy Hand,Backup/Clean,['Overdriven Guitar'],Beginner,2/8
Chevelle,Send The Pain Below,nan,"['Electric Guitar (jazz)', 'Guitar 2']",Beginner,2/8
Composers of MSB,A Grain Of Time - The Rule Of Lruht  Viking Klingon,nan,"['Overdriven Guitar', 'guitar 2']",Intermediate,4/8
Composers of MSB,Fuck The White House,nan,"['Distortion Guitar', 'guitar 1']",Intermediate,3/8
Composers of MSB,Accordiorganistic 5634,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
