,Band,Song,Player,Technique,Difficulty,Score
1979,Asdasdasd,sdashrt,Track 1,['Distortion Guitar'],Beginner,2/8
1980,Deftones,Back to School,Chino,['Distortion Guitar'],Beginner,2/8
1981,Deftones,The Boys Republic,Guitar,"['Chino Moreno', 'Distortion Guitar']",Beginner,2/8
1982,Deftones,Passenger,Maynard James Keenan (Vocals),['Synth Voice'],,
1983,Utsu-P,Sleepwalk (PxTxSxD),Hatsune Miku,['Acoustic Grand Piano'],,
1984,Deftones,Korea,Stef Carpenter,"['Guitar', 'Distortion Guitar 2']",Beginner,2/8
1985,World War Me,That's So Yesterday,Clean Guitar,['Electric Guitar (clean)'],Beginner,2/8
1986,Stone Wings,"Symphony in 3 Movements (I: Burn the Pyres; II: God is Here; III: Allelujah, Amen)",Synth,['Percussive Organ'],,
1987,August Burns Red,Back Burner,Brent Rambler Guitar,['Distortion Guitar'],Intermediate,3/8
1988,Deftones,Back To School (Mini Maggit),Stephen,['Distortion Guitar'],Beginner,2/8
1989,Deftones,Pink Maggit,Stephen Carpenter,['Overdriven Guitar'],Beginner,2/8
1990,Deftones,Feiticeira,Stephen Carpenter,['Distortion Guitar 2'],Beginner,2/8
1991,Sleeping With Sirens,If You Can't Hang,Extra Guitar,['Distortion Guitar'],Beginner,2/8
1992,System of a Down,Chic 'N' Stu,Daron Malakian,['Electric Guitar (clean)'],Beginner,2/8
1993,Electriccover,stg,Korey Cooper,"['Synth Lead 1', 'Lead 3 (calliope)']",,
1994,Dd,dd shooting star fix,Track 3,['Distortion Guitar 2'],Beginner,2/8
1995,Dd,dd shooting star,Track 3,['Distortion Guitar 1'],Beginner,2/8
1996,Electriccover,stg official,Korey Cooper,"['Synth Pad', 'SynthStrings 1']",,
1997,Kenaya,Пустые надежды,Track 3,['Distortion Guitar'],Intermediate,4/8
1998,Electriccover,STG (Official),Seth Morrison,"['Rhythm Clean', 'Overdriven Guitar']",Beginner,2/8
1999,Steal The Universe,Ashes,Harmonies,['Distortion Guitar'],Intermediate,4/8
2000,Steal The Universe,Ashes,Harmonies,['Distortion Guitar'],Intermediate,4/8
2001,Steal The Universe,Ashes,Harmonies,['Distortion Guitar'],Intermediate,4/8
2002,Steal The Universe,Ashes,Clean Gtr,['Electric Guitar (clean)'],Intermediate,4/8
2003,Steal The Universe,Ashes,Clean Gtr,['Electric Guitar (clean)'],Intermediate,4/8
2004,Steal The Universe,Ashes,Harmonies,['Distortion Guitar'],Intermediate,4/8
2005,Steal The Universe,Ashes,Rythm L,['Distortion Guitar'],Intermediate,3/8
2006,Deftones,Change (In The House Of Flies),Chino Moreno,"['Overdrive Guitar', 'Overdriven Guitar']",Beginner,2/8
2007,Makari,Melt,OD GUITAR 2,['Overdriven Guitar'],Intermediate,3/8
2008,2pac,Changes (Metal Version),Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
2009,Steal The Universe,Heavy Hearts,Chorus Lead L,['Distortion Guitar'],Advanced,7/8
2010,System of a Down,Sugar,Daron Malakian,['Distortion Guitar'],Beginner,2/8
2011,Бранный Калькулятор,Кислотные Звери,Track 1,['Distortion Guitar'],Beginner,2/8
2012,Galendwagen,нойз,Distortion Guitar 2,[],Intermediate,3/8
2013,Galendwagen,ночь наедине с грайндкором,Distortion Guitar 1,[],Intermediate,5/8
2014,Tomaco,KoTal,Track 2,['Distortion Guitar'],Intermediate,3/8
2015,Judson,Test1,Sceam,['Synth Drum'],,
2016,Бранный Калькулятор,Free Beer For The Punks,Track 1,['Distortion Guitar'],Intermediate,3/8
2017,Mama Zabey,new crush,Distortion Guitar,[],Beginner,2/8
2018,Ganzyshka,Клептомания,Distortion Guitar,[],Beginner,2/8
2019,Xxx,x,Distortion Guitar,[],Beginner,2/8
2020,Mmzby,n e w c r u s h,Distortion Guitar,[],Beginner,2/8
2021,Elder,One Light Retreating,Lead guitar,"['Nick DiSalvo', 'Overdriven Guitar']",Intermediate,5/8
2022,Elder,White Walls,Solo,['Distortion Guitar'],Intermediate,4/8
2023,Elder,In Procession,Synth,"['Nick DiSalvo', 'Electric Piano 1']",,
2024,Elder,Staving Off Truth,Lead,['Distortion Guitar'],Intermediate,4/8
2025,Elder,Omens,Guitar clean,"['Nick DiSalvo', 'Electric Guitar (clean)']",Intermediate,3/8
2026,Elder,Embers,Synth (strings),"['Michael Risberg', 'String Ensemble 1']",,
2027,Elder,Compendium,Lead,['Distortion Guitar'],Intermediate,5/8
2028,Composers of MSB,Aeingeru's Quest,Contrabass,[],,
2029,Djeena Circus,Sleep Addict,Sample 2,['Lead 2 (sawtooth)'],,
2030,Slippy,Hasta La Vista,Bass Dist.,['Distortion Guitar'],Intermediate,3/8
2031,Djeena Circus,No Cops II,Sample 1,['String Ensemble 1'],,
2032,Big Business,Grounds For Divorce,Spur 2,['Distortion Guitar'],Intermediate,3/8
2033,Akira Yamaoka,Cold Blood,PianoLH,['Acoustic Grand Piano'],,
2034,Diffraction,Leave Me Here,Junior,['Electric Guitar (clean)'],Intermediate,3/8
2035,Dogma Killing Karma,Erythorbic,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
2036,Jared Griggs Music,Ion,Track 4,['Electric Guitar (jazz)'],Intermediate,3/8
2037,Wednesday 13,Bullet Named Christ,Synth Bass,['String Ensemble 1'],,
2038,Cog,Run,Bass. 1 (Synth),['FX 4 (atmosphere)'],,
2039,Millionaire,We Don't Live There Anymore,Bass,['Overdriven Guitar'],Intermediate,3/8
2040,Jazz Jackrabbit,Crysilis,Bass,['Pad 3 (polysynth)'],,
2041,Wizard Whitebeard,Oomak Duke Of Pain,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
2042,Shinedown,I Own You,Bass Guitar,['Acoustic Guitar (steel)'],Beginner,1/8
2043,Breathe Carolina,Wooly,Keyboard 9 (Bass),['Lead 2 (sawtooth)'],,
2044,Escapist,Hive Mind (Bass),Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
2045,Deluhi,Frontier,Synth III,['Pad 2 (warm)'],,
2046,Fanatic Control,Breaking Day And Night,Karim,['Acoustic Guitar (steel)'],Intermediate,3/8
2047,Enter Shikari,Arguing With Thermometers,Keys 3,['Lead 2 (sawtooth)'],,
2048,Children Of Bodom,Ugly (All Song),Bass,['Acoustic Guitar (steel)'],Intermediate,4/8
2049,Sleeping With Sirens,All My Heart,Bass,['Acoustic Guitar (steel)'],Beginner,1/8
2050,Winter Is Coming,Everyone Will Try To Kill Us,Vydall,['Pad 2 (warm)'],,
2051,The Air I Breathe,Here's To Letting Go,Colin,['Acoustic Guitar (steel)'],Intermediate,3/8
2052,Born Of Osiris,Now Arise,David Darocha,['Acoustic Guitar (steel)'],Intermediate,4/8
2053,Belphegor,In Blood - Devour This Sanctity (The Intro/Main Riff),Pista 5,['Distortion Guitar'],Beginner,2/8
2054,Suicide Hill,Just You And Me,Track 5,['Banjo'],,
2055,Hell Hath No Fury,Metalcore,Electric Bass,['Dulcimer'],,
2056,Denailler,Fatality (First Attempt),Track 2,['Acoustic Guitar (nylon)'],Intermediate,3/8
2057,The Color Morale,Strange Comfort,Electric Bass,['Acoustic Grand Piano'],,
2058,Enter Shikari,"Ghandi Mate, Ghandi",Rou,"['Electronics 1', 'Lead 1 (square)']",,
2059,Enter Shikari,Warm Smiles Do Not Make You Welcome Here,Bass Dist,['Lead 2 (sawtooth)'],,
2060,Состояние Птиц,Viii,Copy of Track 6,['Lead 8 (bass + lead)'],,
2061,Bait,Sermon,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
2062,Max Sullivan [Eots],Forsaken World,Contrabass,[],,
2063,Escape The Fate,"Live Fast, Die Beautiful",Electric Bass,['Overdriven Guitar'],Beginner,1/8
2064,Converge,Sadness Comes Home,Overdriven Guitar,[],Beginner,1/8
2065,Royal Blood,Little Monster,Bass (Harmony),['Lead 8 (bass + lead)'],,
2066,Coralies,Mi Valor Contra Medusa,El Pela,['Overdriven Guitar'],Intermediate,3/8
2067,Deathember,Unending Thirst,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
2068,Deathember,Quietly,Track 4 (muted),['Acoustic Guitar (steel)'],Intermediate,3/8
2069,Bullet For My Valentine,Venom,Sound Effect 1,['Tremolo Strings'],,
2070,Lower Than Atlantis,Here We Go,Bass Distortion,['Overdriven Guitar'],Beginner,2/8
2071,Patrick Doyle,Frank Dies,Contrabass,[],,
2072,Ntm,K53,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
2073,Marmozets,Weird And Wonderful (Version 2),Bass,['Distortion Guitar'],Beginner,1/8
2074,Enter Shikari,The Jester,Keyboard 3,['Lead 2 (sawtooth)'],,
2075,Enter Shikari,Gandhi Mate Gandhi,Bass Effect,['Lead 2 (sawtooth)'],,
2076,Enter Shikari,Rat Race,Basseffect,['Lead 1 (square)'],,
2077,Thrice,Music Box,Keyboard,['Contrabass'],,
2078,Fightstar,Murder All Over,Synth 4,['Pad 2 (warm)'],,
2079,Lower Than Atlantis,Here We Go,Bass Distortion,['Overdriven Guitar'],Beginner,2/8
2080,Electrowaltz,Weloyet,Track 2,['Pad 3 (polysynth)'],,
2081,Secret And Whisper,You Are Familiar,Jordan Chase,['Distortion Guitar'],Beginner,2/8
2082,Ayreon,Side Effects,Bass,['Acoustic Guitar (steel)'],Beginner,1/8
2083,Black Bomb A,You Got The Power,Basse,['Distortion Guitar'],Beginner,1/8
2084,Destrage,Backdoor Epoque,Gabriel,['Acoustic Guitar (steel)'],Advanced,8/8
2085,Red Fang,Doen,Piste 2,['Overdriven Guitar'],Intermediate,4/8
2086,Red Fang,Throw Up,Bass,['Overdriven Guitar'],Beginner,2/8
2087,Poison The Well,A The View From Here Is B A Brick Wall,Overdriven Guitar,[],Beginner,1/8
2088,Marilyn Manson,Cryptorchid,Bass,['SynthBrass 1'],,
2089,Motorhead,Sword Of Glory,Lemmy Kilmister,['Overdriven Guitar'],Beginner,2/8
2090,Atreyu,Deanne The Arsonist,Bass,['Acoustic Guitar (nylon)'],Beginner,1/8
2091,Most Precious Blood,So Typical My Heart,Track 4,['Acoustic Guitar (nylon)'],Intermediate,3/8
2092,The Rape Of Lucrece,Obituary Of The Fallen,Marvin,['Acoustic Guitar (nylon)'],Intermediate,3/8
2093,Six Feet Under,Bringer Of Blood,Terry Butler (Bass),['Overdriven Guitar'],Beginner,1/8
2094,Coal Chamber,Shock The Monkey,Rayna,['Lead 8 (bass + lead)'],,
2095,Converge,Heartache,Bass,['Distortion Guitar'],Beginner,1/8
2096,Dream Evil,Falling,Bass Guitar,['Overdriven Guitar'],Intermediate,3/8
2097,Before Their Eyes,Nighttime Is Our Time,Bass,['Distortion Guitar'],Beginner,1/8
2098,Fightstar,99,Dan Haigh,['Acoustic Guitar (steel)'],Intermediate,3/8
2099,Gardenian,As A True King,Bass Guitar,['Clavi'],,
2100,Ill Niño,I Am Loco,SE,['Dulcimer'],,
2101,Misery Signals,Stinging Rain,Synth Bass,['Pad 2 (warm)'],,
2102,Regurgitate,To Boil A Corpse,Bass,['Distortion Guitar'],Intermediate,4/8
2103,Enter Shikari,No Sleep Tonight,Chris,"['Basseffect', 'Lead 8 (bass + lead)']",,
2104,Enter Shikari,Hectic,Bass Dist,['Lead 8 (bass + lead)'],,
2105,Enter Shikari,Step Up,Bassdist,['Lead 8 (bass + lead)'],,
2106,For Today,The Breakers Origin - Devastator,Bass Hit,['Synth Drum'],,
2107,He Is Legend,Widow Of Magnolia,Track 3,['Acoustic Guitar (steel)'],Intermediate,4/8
2108,Mortal Treason,Best Case Scenario,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
2109,Scars Of Life,Lemon,Spoor 4,['Acoustic Guitar (steel)'],Intermediate,3/8
2110,Young Guns,Winter Kiss,Bass,['Acoustic Guitar (steel)'],Beginner,1/8
2111,The Air I Breathe,Take This To Heart,Colin,['Acoustic Guitar (steel)'],Intermediate,3/8
2112,The Whoabots,Shadow Boy,Electric Guitar (muted) 11,[],Intermediate,3/8
2113,Gilang,Fiction,Low Strings,['Distortion Guitar'],Intermediate,3/8
2114,Biffy Clyro,Animal Style,Bass (FX),['Lead 2 (sawtooth)'],,
2115,The Used,This Fire,Contrabass,[],,
2116,Ivariis,Onlzz,Anastas,['Lead 8 (bass + lead)'],,
2117,Ivariis,Nol,Anastas Bass,['Baritone Sax'],,
2118,Waldgeflüster,Graustufen Novembertage,Bass,['Acoustic Guitar (steel)'],Intermediate,3/8
2119,Novelists,Heal The Wound,Bass,['Distortion Guitar'],Beginner,2/8
2120,Vete A La Versh,Perra El Musical,El Bombo,['Acoustic Guitar (steel)'],Beginner,1/8
2121,August Burns Red,Black Sheep,Track 5,['Lead 8 (bass + lead)'],,
2122,Mannheim Steamroller,God Rest Ye Merry Gentleman,Piano (Left),['Bright Acoustic Piano'],,
2123,The Getaway Plan,Red Flag,Acoustic Grand Piano,[],,
2124,The Getaway Plan,Melophobia,Acoustic Grand Piano,[],,
2125,Miss May I,Second To No One,Effects,['Lead 8 (bass + lead)'],,
2126,Member 8,Amnesia,Track 8,['Distortion Guitar'],Intermediate,3/8
2127,Member 8,Amnesia 5 string bass version,Track 8,['Distortion Guitar'],Intermediate,3/8
2128,Eye Of Violence,Living In The Shadow,音軌 3,['Acoustic Guitar (steel)'],Advanced,8/8
2129,Blessthefall666,ASDASD,Track 3,['Distortion Guitar'],Intermediate,3/8
2130,Bad Wolves,Zombie,Acoustic Piano,['Acoustic Grand Piano 2'],,
2131,Chuck You Farlie!,New Song Idea,Track 5,['Distortion Guitar'],Intermediate,3/8
2132,Vluzkisha,Durphurb,Track 4,['Overdriven Guitar'],Intermediate,4/8
2133,Rammstein,Mein Teil (With Intro),Keyboard Bass,['SynthBrass 1'],,
2134,Sündr,Some Say,KIRK,['Acoustic Guitar (steel)'],Beginner,2/8
2135,Hunter Forsberg,Izotop,Track 3,['Acoustic Grand Piano'],,
2136,Hate Crew,WSS,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2137,Archívum,Lázadó vagy bírka,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2138,Balhé,Jövőkép,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2139,Rammstein,Mein Teil,Keyboard Bass,['SynthBrass 1'],,
2140,"Well, Me Again",another riff ideaaaaaaaaa,Electric Bass,['Acoustic Grand Piano 2'],,
2141,Fuck Sheet Happens,Black Sheep - ABR,Track 5,['Lead 8 (bass + lead)'],,
2142,August Burns Red,Meridian Ver.2,Bass,['Acoustic Guitar (steel)'],Beginner,2/8
2143,Unghenimetal2k20,ProgresiveMetal,Track 4,['Acoustic Guitar (steel)'],Advanced,8/8
2144,Noneimbl,testv2song,Bass,['Acoustic Guitar (nylon)'],Advanced,8/8
2145,Avenged Sevenfold,Fiction,Low Strings,['Acoustic Grand Piano'],,
2146,Rammstein,Radio,Synth Rhythm (Flake),['Lead 8 (bass + lead)'],,
2147,Rendevous,Metalcore 8,Synthesizer (Staff 2),['Pad 2 (warm)'],,
2148,Cerdo Gonorreico,esmegma con sangre,Bass,['Distortion Guitar'],Intermediate,4/8
2149,Alloytuber,Celntros,Electric Bass,['Distortion Guitar'],Intermediate,3/8
2150,Marius&Mishusong,UngheniMetal,Bass,['Acoustic Guitar (steel)'],Advanced,8/8
2151,Numetalfmm,NUMetaLmgmgm,Bass,['Acoustic Guitar (steel)'],Advanced,8/8
2152,Marius&Mishusong2,UngheniMetal,Bass,['Acoustic Guitar (steel)'],Advanced,8/8
2153,Neon Engine,Ludens (Cover),Synth Bass 2 ,['Lead 3 (calliope)'],,
2154,Палисад,8,бас,['Electric Guitar (jazz)'],Intermediate,3/8
2155,Biffy Clyro,Tiny Indoor Fireworks,Studio,['Lead 2 (sawtooth) 2'],,
2156,Avenged Sevenfold,Fiction (no vocals),Low Strings,['Acoustic Grand Piano'],,
2157,Sum 41,A Murder Of Crows,Contrabass,['Distortion Guitar'],Intermediate,3/8
2158,Mud Creek,My Everything,Vocals 2,['Lead 1 (square)'],,
2159,Mud Creek,Punk Shit,Vocals (Staff 2),['Lead 1 (square)'],,
2160,Thotcrime,Attack its Weak Point for Massive Damage!!,intro bass,['Lead 3 (calliope)'],,
2161,Mental Fog,Gemini (Death Among the Stars),Bass Chorus Effect,['FX 8 (sci-fi)'],,
2162,The Air I Breathe,Deliverance,Colin,['Acoustic Guitar (steel)'],Intermediate,3/8
2163,Untitled,StrangeMusikY_Test,Synthesizer (Staff 2),['Lead 8 (bass + lead)'],,
2164,Blood Incantation,The Giza Power Plant,FX,['Seashore'],,
2165,System of a Down,Toxicity (5 str. bass),Studio,['Acoustic Grand Piano'],,
2166,Me,Custom Toxicity Solo,Studio,['Acoustic Grand Piano'],,
2167,Breathing Again,My Crusade,Piano (Staff 2),['Acoustic Grand Piano'],,
2168,Agalloch,Not Unlike The Waves,Bass,['Electric Guitar (clean)'],Intermediate,3/8
2169,Breewes,для никого,автобус,['Acoustic Guitar (steel)'],Beginner,2/8
2170,Lucydream,Shining Knight,Bass Guitar,['Overdriven Guitar'],Intermediate,4/8
2171,Slaver (Test),She - firefly of my humanity...,Track 3,['Electric Guitar (clean)'],Intermediate,3/8
2172,Crimes Against The Crown,Below The Hill,bASS,['Electric Guitar (clean)'],Beginner,2/8
2173,System of a Down,Toxicity,Studio,['Acoustic Grand Piano'],,
2174,Hizaki Grace Project,Race Wish,Lead Guitar,['Distortion Guitar'],Intermediate,4/8
2175,Paramore,Crushcrushcrush,Rhythm Guitar (Josh Farro),['Overdriven Guitar'],Beginner,2/8
2176,69 Eyes,Stolen Season,Clean Guitar,['Acoustic Guitar (steel)'],Beginner,2/8
2177,10 Years,Half Life,guitar2,['Distortion Guitar'],Beginner,1/8
2178,12 Stones,Crash,Clean Guitar,['Electric Guitar (clean)'],Beginner,1/8
2179,Beatsteaks,Mirrored,Guitar 1(Lead),['Overdriven Guitar'],Intermediate,3/8
2180,Blackmail,Evon,Guitar 1 ,['Overdriven Guitar'],Intermediate,3/8
2181,Booxras,Path Of Fire,Track 1,['Distortion Guitar'],Intermediate,4/8
2182,Booxras,As Light Dims,Strings,['String Ensemble 1'],,
2183,Booxras,Beyond Faith,Acoustic Guitar (steel),[],Intermediate,3/8
2184,Brand New,The Shower Scene,Jesse,['Distortion Guitar'],Beginner,2/8
2185,Brand New,Me vs. Maradona vs. Elvis,Rythmn Guitar,['Overdriven Guitar'],Beginner,2/8
2186,Coheed And Cambria,Always And Never,Claudio,['Acoustic Guitar (nylon)'],Intermediate,3/8
2187,Colour Of Fire,The Exile,Guitare Owen,['Overdriven Guitar'],Intermediate,3/8
2188,Composers of MSB,Lex Talionis,Track 4,['Acoustic Guitar (steel)'],Intermediate,3/8
2189,Composers of MSB,Dark Angel,shaun,['Distortion Guitar'],Intermediate,3/8
2190,Darles Chickens,The Rat In The Pink Volvo,The cat in the hat,['Orchestral Harp'],,
2191,Dredg,Ode To The Sun,Distored Guitar 2,['Distortion Guitar'],Intermediate,3/8
2192,Exterio,Bonhomme 7h,Guitar 1,['Overdriven Guitar'],Intermediate,3/8
2193,Fake,Hedfuc,Guitar I,['Distortion Guitar'],Intermediate,3/8
2194,Fake,Chemical In Me,Guitar II,['Distortion Guitar'],Beginner,1/8
2195,Fake,Further Away,Guitar II,['Distortion Guitar'],Intermediate,3/8
2196,Fake,Taste Maximum,Guitar I,['Distortion Guitar'],Intermediate,3/8
2197,Fake,Larva,Guitar I,['Acoustic Guitar (steel)'],Intermediate,3/8
2198,Fake,Static,Guitar II,['Distortion Guitar'],Intermediate,3/8
2199,Finch,Perfection Through Silence,Mark Trombino,['FX 3 (crystal)'],,
2200,Finch,Ender,2nd Piano,['Acoustic Grand Piano'],,
2201,Finch,Letters To You,Background Vocals,['Choir Aahs'],,
2202,Finch,New Beginnings,Guitare 1,['Distortion Guitar'],Beginner,2/8
2203,Finch,Post Script,Guitare 2,['Distortion Guitar'],Intermediate,3/8
2204,Future Lost,Waves,Xero,['Distortion Guitar'],Intermediate,3/8
2205,Future Lost,Demo 2,Xero,['Distortion Guitar'],Intermediate,3/8
2206,Future Lost,Game,Xero,['Distortion Guitar'],Intermediate,3/8
2207,Nick Funyak,Down,Track 2,['Distortion Guitar'],Intermediate,3/8
2208,Nick Funyak,All In The End,Electric Guitar (clean),[],Intermediate,3/8
2209,Good Charlotte,Riot girl,guitar 2,['Distortion Guitar'],Beginner,2/8
2210,Heavy Competition 10,Rising Up,guitar1,['Distortion Guitar'],Intermediate,3/8
2211,Hirvituho,Hirvisinfonia,Track 1,['Distortion Guitar'],Intermediate,4/8
2212,Gary Hoey,Wipe Out,gtr 3,['Overdriven Guitar'],Beginner,2/8
2213,Hoobastank,Lucky,Guitar 2,['Distortion Guitar'],Intermediate,3/8
2214,Hoobastank,Let It Out,Guitar 3,['Distortion Guitar'],Intermediate,3/8
2215,Hoobastank,Escape,Guitar 1,['Distortion Guitar'],Intermediate,3/8
2216,Home Town Hero,Questions,Guitar 1,['Distortion Guitar'],Intermediate,3/8
2217,Jimmy Eat World,Work,Track 3,['Distortion Guitar'],Beginner,2/8
2218,Kingston Wall,Istwan,Raita 1,['Acoustic Guitar (steel)'],Intermediate,4/8
2219,Kyuss,Space Cadet,Guitar 1,['Acoustic Guitar (steel)'],Intermediate,3/8
2220,Local H,Cynic,Guitar,"['Scott Lucas', 'Overdriven Guitar 1']",Intermediate,4/8
2221,Los Hermanos,Ultimo Romance,Marcelo,['Overdriven Guitar'],Beginner,2/8
2222,MustaineRules,Betrayed,Rythm,['Distortion Guitar 1'],Intermediate,3/8
2223,My Downfall,Wake Up,Distortion Guitar,[],Intermediate,3/8
2224,Nickelback,Just For,Guitar(mute),['Electric Guitar (muted)'],Beginner,2/8
2225,Nirvana,Something In The Way (Mtv Unplugged),Guitare 1,['Acoustic Guitar (steel)'],Beginner,2/8
2226,No Glory No Balls,Whiplash,Elec. Gtr. 2,['Distortion Guitar'],Intermediate,3/8
2227,No Glory No Balls,Monkies Dancing,Track 1,['Bright Acoustic Piano'],,
2228,Orgy,Eva (P.I),Ryan,['Distortion Guitar'],Beginner,1/8
2229,Orgy,Eva (P.Ii),Ryan,['Distortion Guitar'],Intermediate,3/8
2230,Population 1,High,Piste 5,['Overdriven Guitar'],Intermediate,3/8
2231,Presidents Of The United States Of America,Tiki God,Guitar 4,['Acoustic Guitar (steel)'],Intermediate,3/8
2232,Puddle Of Mudd,Nobody Told Me,Voice Oohs,[],,
2233,Puddle Of Mudd,Out Of My Head,Guitar 1,['Overdriven Guitar'],Beginner,1/8
2234,Red Alert,- Radio 2,Lead 2 (sawtooth),[],,
2235,Sads,Because,Guitar II,['Distortion Guitar'],Intermediate,3/8
2236,Sads,Metal Fur,Guitar I,['Distortion Guitar'],Beginner,2/8
2237,Sads,See A Pink Thin Cellophane,Guitar II,['Distortion Guitar'],Intermediate,3/8
2238,Sads,Porno Star,Guitar II,['Distortion Guitar'],Beginner,2/8
2239,Sads,Darkness Is My Spiral Mind,Guitar II,['Distortion Guitar'],Intermediate,3/8
2240,Sads,Nancy,Guitar II,['Distortion Guitar'],Intermediate,3/8
2241,Sads,Hello,Guitar II,['Distortion Guitar'],Intermediate,3/8
2242,Seether,Truth,Shaun,['Distortion Guitar'],Beginner,2/8
2243,Seether,Never Leave,Guitar #1,"['Pat Callahan', 'Electric Guitar (clean)']",Beginner,2/8
2244,Seether,Plastic Man,Acoustic Guitar (steel),[],Beginner,2/8
2245,Sum 41,Moron,Brownsound,['Distortion Guitar'],Intermediate,3/8
2246,Singlethreat,Lost,Chris (Clean),['Electric Guitar (jazz)'],Intermediate,3/8
2247,Singlethreat,The Rise And Fall,Chris (Overdub Harmony),['Distortion Guitar'],Intermediate,3/8
2248,Singlethreat,To Divide And Conquer,Craig (Dist),['Distortion Guitar'],Intermediate,3/8
2249,Singlethreat,Nothing Left,Craig (Clean),['Electric Guitar (jazz)'],Intermediate,4/8
2250,Staind,Price To Play,Track 2,['Distortion Guitar'],Beginner,2/8
2251,Throttlerod,Whistlin' Dixie,Distortion Guitar,[],Intermediate,4/8
2252,Farin Urlaub,Augenblick,2. Gitarre,['Overdriven Guitar'],Intermediate,3/8
2253,Farin Urlaub,Immer Noch,Klavier/Orgel,['Lead 8 (bass + lead)'],,
2254,Wednesday 13,God Is A Lie,RYTHEM GUITAR,['Distortion Guitar'],Beginner,2/8
2255,X-Ecutioners,It's Going Down,Guitar Dist,['Distortion Guitar'],Intermediate,3/8
2256,X-Marika,Hamro Nepal,Guitar 2,['Acoustic Guitar (steel)'],Beginner,1/8
2257,X-Marika,Yo Hamro Nepal,Guitar 2,['Acoustic Guitar (steel)'],Intermediate,3/8
2258,Akira Yamaoka,Alone In The Town,Electric Guitar (clean),[],Beginner,1/8
2259,AFI,The Great Disappointment,Clean Effect,['Pad 1 (new age)'],,
2260,Brand New,Secondary,Vinnie,['Distortion Guitar'],Intermediate,4/8
2261,Brand New,Logan To Government Center,Electric Guitar (clean) 2,[],Intermediate,3/8
2262,Course Of Nature,Wall Of Shame,Rhythm Guitar,['Distortion Guitar'],Beginner,2/8
2263,Crack Ov Dawn,Rise And Fall,Sample,['Contrabass'],,
2264,Dir En Grey,Child Prey,Die,['Overdriven Guitar'],Beginner,2/8
2265,Dir En Grey,The III D Empire,Kaoru,['Distortion Guitar'],Beginner,2/8
2266,Ronnie James Dio,Shivers,Craig Goldy,"['Lead', 'Overdriven Guitar']",Beginner,2/8
2267,Dashboard Confessional,Saints And Sailors,lira,['Acoustic Guitar (steel)'],Intermediate,3/8
2268,Darles Chickens,Socks And Peanut Windows,The cat in the hat,['Orchestral Harp'],,
2269,The Early November,The Baby Blue,Overdub,['Distortion Guitar'],Intermediate,3/8
2270,Evanescence,My Last Breath,Guitar 2,['Overdriven Guitar'],Intermediate,3/8
2271,Future Lost,Waste,Xero,['Distortion Guitar'],Intermediate,3/8
2272,Finch,Bury Me,Melodie,['Acoustic Guitar (steel)'],Intermediate,3/8
2273,Finch,What It Is To Burn,Guitar 1,['Overdriven Guitar'],Intermediate,3/8
2274,Finch,Worms From The Earth,Telecaster,['Overdriven Guitar'],Intermediate,3/8
2275,Finch,Three Simple Words,Guitar 1,['Distortion Guitar'],Beginner,2/8
2276,Guano Apes,You Can't Stop Me,Spur 1,['Distortion Guitar'],Intermediate,3/8
2277,Heavy Competition 11,Revelation,Synths,['String Ensemble 1'],,
2278,Hoobastank,From The Heart,Dan Estrin (2°Guitar),['Acoustic Guitar (steel)'],Intermediate,4/8
2279,Ozzy Osbourne,Perry Mason,Violins,['String Ensemble 1 2'],,
2280,JHGuitar Freak,Metal Assault,Rythm,['Distortion Guitar'],Intermediate,3/8
2281,Santiago Dobles,Smooth,Daron + Serj Tankian,['Clarinet'],,
2282,Matchbook Romance,Shadows Like Statues,Guitar 1,['Distortion Guitar'],Beginner,2/8
2283,Poison,Body Talk,Guitar I,['Distortion Guitar'],Intermediate,4/8
2284,30 Seconds to Mars,Welcome To The Universe,Rythme Guitar,['Distortion Guitar'],Beginner,2/8
2285,Amber Pacific,Everything We Were Has Become What We Are,Track 2,['Distortion Guitar'],Intermediate,4/8
2286,Amber Pacific,For What It's Worth,Lead,['Overdriven Guitar'],Intermediate,3/8
2287,Static Dress,Di-Sinter,Guitar 2,['Overdriven Guitar'],Intermediate,3/8
2288,No Glory No Balls,Change,Track 2,['Distortion Guitar'],Intermediate,3/8
2289,Ozzy Osbourne,That I Never Had,Zakk Wylde,['Overdriven Guitar'],Intermediate,4/8
2290,Presidents Of The United States Of America,Ladies And Gentlemen Part I,Guitar 1,['Electric Guitar (clean)'],Intermediate,3/8
2291,Ozzy Osbourne,Facing Hell,Ozzy,['Flute'],,
2292,Seether,I'm The One,Pat,['Distortion Guitar'],Beginner,2/8
