Band,Song,Player,Technique,Difficulty,Score,ID_TRACK,POPULARITY,RELEASE_DATE,EXTERNAL_URLS,SEARCH_URL,AVAILABLE_MARKETS,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist
Kataklysm,Embracing Europa,,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8,5YgFi7vB2RBrRrAgze7Skz,4,2001,https://open.spotify.com/album/2G6iAabxxYNbr2kDxCn5Xu,https://p.scdn.co/mp3-preview/44548d89bb3d39ee5c84311f9bb60e3655872763?cid=f9d64942f5f74f3282916225d2f77630,nan,0.35,0.964,-3.862,0.0785,0.00935,0.000902,0.305,0.279,102.28,224533,,,,
Bloodbath,Ways To The Grave,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8,7qQd7HRhqAcx4lC7PfW8WZ,31,2002,https://open.spotify.com/album/4FxwiAMgbsWgDXkrkxonQO,https://p.scdn.co/mp3-preview/49e2d33d347dd438ac12c23c7c69343a20d8dd23?cid=f9d64942f5f74f3282916225d2f77630,nan,0.412,0.95,-6.972,0.0847,1.18e-06,0.94,0.191,0.317,106.996,249307,,,,
Regain The Legacy,Dislocation,,"['Distortion Guitar', 'Guitar 3']",Intermediate,4/8,3CHvg5MZIEe8sOJffAyUbq,0,2014,https://open.spotify.com/album/6D5BQAcChepSyuSokkt04r,https://p.scdn.co/mp3-preview/2aa7febe3e1f7cebce28bb369a3076144559dbfd?cid=f9d64942f5f74f3282916225d2f77630,nan,0.458,0.994,-2.811,0.143,1.36e-05,0.351,0.279,0.0393,99.979,218099,,,,
Amon Amarth,Blood Eagle,,"['Distortion Guitar', 'Additional Guitar']",Intermediate,4/8,66r1bdrSA8z0yG9ucM0IIX,41,2013,https://open.spotify.com/album/3cQfALGRSzDeohPsXkF6X3,https://p.scdn.co/mp3-preview/140480e1e583b0950f591911ea560fb441e6a4ac?cid=f9d64942f5f74f3282916225d2f77630,nan,0.385,0.974,-4.765,0.122,7.2e-05,0.669,0.394,0.268,185.056,195800,,,,
Amon Amarth,Under Siege,,"['Acoustic Guitar (steel)', 'Additional Electric Guitar']",Beginner,1/8,4FU1idZWgf2jxWHo7YtAMI,34,2013,https://open.spotify.com/album/3cQfALGRSzDeohPsXkF6X3,https://p.scdn.co/mp3-preview/0b6914a912c1943d12cd30aa6ecc62f61477cb13?cid=f9d64942f5f74f3282916225d2f77630,nan,0.166,0.932,-6.266,0.0907,3.27e-05,0.547,0.258,0.222,184.484,377587,,,,
Black Sabbath,Zero The Hero,['Effects'],['Distortion Guitar'],Beginner,1/8,5grVjZKxTgnQaWdiKK0brt,29,1983,https://open.spotify.com/album/13jNXpmYnLC5oOyKOeps5n,https://p.scdn.co/mp3-preview/842df2a332451035728815af0d1bfa3700ef023e?cid=f9d64942f5f74f3282916225d2f77630,nan,0.333,0.817,-9.027,0.0425,0.0186,0.000447,0.0916,0.41,79.611,455267,"['OzzyOsbourne', 'RonnieJamesDio(1942-2010)']",['GeezerButler'],['BillWard'],[]
Whitechapel,Hate Creation,"['AlexWade', 'ZachHouseholder', 'BenjaminSavage']","['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8,6nfSrOocYFRjZP0zyWwLcY,30,2012,https://open.spotify.com/album/3dl2LnN3F3sh6mnspmDc5w,https://p.scdn.co/mp3-preview/bc836c3b63ba0249bd159710b8dda953d0275309?cid=f9d64942f5f74f3282916225d2f77630,nan,0.298,0.937,-4.448,0.166,0.000687,0.292,0.308,0.12,122.377,208227,['PhilBozeman'],['GabeCrisp'],['BenHarclerode'],[]
Spawn Of Possession,The Evangelist,['Outro 2'],['Distortion Guitar'],Intermediate,3/8,3qlgzTeObBORqBD8tCPhAZ,23,2012,https://open.spotify.com/album/0Buany3y8swPfJXaYLeDA2,https://p.scdn.co/mp3-preview/40155e7c82aa81c600f1d26f56726be6d90de032?cid=f9d64942f5f74f3282916225d2f77630,nan,0.29,0.978,-5.439,0.133,0.000228,0.805,0.257,0.103,139.997,585520,,,,
Kataklysm,Numb & Intoxicated,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8,4xJ0fcYpHFdMSUZTOfoSPO,15,2010,https://open.spotify.com/album/40vPPxaqPIQ8dKscRK6KZd,https://p.scdn.co/mp3-preview/cca0cafae567e4dc3daad1faba66a1b375816f13?cid=f9d64942f5f74f3282916225d2f77630,nan,0.479,0.993,-3.862,0.159,2.33e-06,0.466,0.209,0.255,145.024,206213,,,,
Amon Amarth,Releasing Surtur's Fire,,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8,12fjzFXAuTONQLn5dJAixP,20,2001,https://open.spotify.com/album/4GxYPsM2Cj96vBrC6OzO6Z,https://p.scdn.co/mp3-preview/c60e7d87492cdb63ea900864a524b40227c93835?cid=f9d64942f5f74f3282916225d2f77630,nan,0.386,0.972,-5.383,0.0768,1.45e-06,0.771,0.0482,0.0965,99.942,326413,,,,
Amon Amarth,Valhall Awaits Me,['Olavi Mikkonen'],['Distortion Guitar'],Intermediate,4/8,52K9hPgwr3RoF3c4FVJZU5,44,2006,https://open.spotify.com/album/6vpateiy0wXz9o376HI5F3,https://p.scdn.co/mp3-preview/ea9a3d03631638e7d51e38c94102ce3c8a9ed2a5?cid=f9d64942f5f74f3282916225d2f77630,nan,0.18,0.959,-4.885,0.0851,2.78e-05,0.287,0.0733,0.104,186.943,283520,,,,
Benighted,Iscarioth,,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8,5TMQ5OCz46KdB08eN8jhpr,7,2008,https://open.spotify.com/album/5UkoAEYjjgPINv7jdlA0Qm,https://p.scdn.co/mp3-preview/96c4502f9a067b9d937203e2c8d727242cc8555f?cid=f9d64942f5f74f3282916225d2f77630,nan,0.22,0.974,-4.706,0.182,1.44e-05,0.254,0.0735,0.158,166.108,224720,,,,
Kataklysm,At The Edge Of The World,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8,6EDTqKOQrPxAVpBdnzNOwZ,38,2010,https://open.spotify.com/album/40vPPxaqPIQ8dKscRK6KZd,https://p.scdn.co/mp3-preview/e813b827651ddbb8745e396b7956ae11470fa724?cid=f9d64942f5f74f3282916225d2f77630,nan,0.417,0.97,-3.637,0.0795,4.14e-06,0.673,0.105,0.263,180.091,239347,,,,
Nile,Essential Salts,['Harmony'],['Distortion Guitar'],Intermediate,3/8,1uCPXHDxNd4IrRVMne9uNa,37,2007,https://open.spotify.com/album/01dFw02I9AFMggZkb61xi3,https://p.scdn.co/mp3-preview/d05cda49abe86fd7faf7fc97b7789f1a43ddd6a9?cid=f9d64942f5f74f3282916225d2f77630,nan,0.483,0.959,-4.225,0.106,1.57e-05,0.83,0.534,0.109,123.031,231853,,,,
Benighted,Blindfolded Centuries,['Right'],['Distortion Guitar'],Intermediate,4/8,3d65V86Ou0mD4nZj5Vlcjc,9,2007,https://open.spotify.com/album/2be0VJPYuWmVeKEJ2lxr9T,https://p.scdn.co/mp3-preview/9823318691de40d728180334a93665a36eefc9b2?cid=f9d64942f5f74f3282916225d2f77630,nan,0.33,0.905,-5.105,0.159,0.000103,0.0894,0.0372,0.249,109.406,201133,,,,
Benighted,Invoxhate,,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8,08hnHqqN3xAmEOmb7lvM23,10,2007,https://open.spotify.com/album/2be0VJPYuWmVeKEJ2lxr9T,https://p.scdn.co/mp3-preview/82717e7040dfa0dfd6504ec45398c737b21bfd8f?cid=f9d64942f5f74f3282916225d2f77630,nan,0.269,0.91,-4.737,0.105,1.18e-05,0.534,0.3,0.268,120.106,208493,,,,
Dream Theater,Lie,['Spur 2'],['Distortion Guitar'],Advanced,8/8,35g2NgdfhlAYE2IeEgY82a,41,2005,https://open.spotify.com/album/4v6kYkn7mYjlWS9vONmmCP,https://p.scdn.co/mp3-preview/81c70a166bef0ec699e6e332b9e1d1e85cbda57c?cid=f9d64942f5f74f3282916225d2f77630,nan,0.437,0.351,-9.056,0.0279,0.505,1.1e-06,0.101,0.0574,142.049,333093,['JamesLabrie'],['JohnMyung'],"['MikePortnoy', 'MikeMangini']",['JordanRudess']
Gazette,Dripping Insanity,"['Aoi', 'Uruha']","['Overdriven Guitar', 'Guitar 1']",Beginner,2/8,08yA9Hn0y337Jk2Dcpi79A,27,2012,https://open.spotify.com/album/5sjkMpwgAJvVYAZiW0j4vS,https://p.scdn.co/mp3-preview/f2462c94bd505dc3cf01b452e5a1354a6e8a8df9?cid=f9d64942f5f74f3282916225d2f77630,nan,0.499,0.854,-5.017,0.05,0.00057,0.00369,0.155,0.697,89.995,248760,['Ruki'],['Reita'],['UkeYutaka'],[]
Avatar,Smells Like A Freakshow,['Kungen'],['Overdriven Guitar'],Advanced,8/8,3kWTOcfiUwlsp4N7UWIm9A,16,2013,https://open.spotify.com/album/3dI3LK1Jk6gKdvXg9qjqJg,https://p.scdn.co/mp3-preview/bd70ec5901b99ad27fff8c77845259642e6e3a97?cid=f9d64942f5f74f3282916225d2f77630,nan,0.588,0.977,-3.708,0.0408,6.58e-06,0.0886,0.114,0.334,107.033,241667,['JohannesEckerstrom'],['HenrikSandelin'],[],[]
Pelican,Ephemeral,,"['Overdriven Guitar', 'Guitar I']",Beginner,1/8,45XLKpJFFdcJ1xDCeB4qYX,37,2009,https://open.spotify.com/album/4tu3vMRlLI3oxxlmbyFKqR,https://p.scdn.co/mp3-preview/b2bfb93d0b7a45cd6367ac581c5015a3d462929c?cid=f9d64942f5f74f3282916225d2f77630,nan,0.411,0.946,-4.684,0.0391,4.52e-05,0.926,0.164,0.485,156.582,309693,,,,
Carcass,Captive Bolt Pistol,['Bill Steer'],['Distortion Guitar'],Intermediate,4/8,2ECMsbABJhbyEvVvY4RtV6,24,2013,https://open.spotify.com/album/6TmU9I3z2UrcCYQgVeUUEc,https://p.scdn.co/mp3-preview/fd5a77d05b2ee4272bbacb5c45e105c9561faf75?cid=f9d64942f5f74f3282916225d2f77630,nan,0.378,0.994,-4.633,0.183,6.15e-06,0.0212,0.0395,0.11,98.371,196733,,,,
